id,name,prompt_en
1,卑弥呼,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Female shaman queen of ancient Japan, flowing robes with mystical patterns, long black hair with ceremonial ornaments, holding a bronze mirror, mysterious expression."
2,聖徳太子,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese prince regent in formal court robes, holding a ceremonial scepter, gentle wise expression, black lacquered court cap."
3,小野妹子,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Asuka-era male envoy in formal court robes, holding a diplomatic scroll, determined expression, about to sail to China."
4,中大兄皇子,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Asuka prince in armor-influenced robes, confident reformer expression, holding a political scroll reading Taika Reform."
5,中臣鎌足,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Asuka-era nobleman in formal robes, loyal advisor expression, holding a scroll, ancestor of the Fujiwara clan."
6,聖武天皇,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Nara emperor in full imperial robes, benevolent expression, with a tiny Great Buddha of Todai-ji floating beside him, gold crown."
7,行基,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Buddhist monk in simple gray robes, kind grandfatherly expression, holding a shovel and a small Buddha statue, helping build Todai-ji."
8,鑑真,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Chinese Buddhist monk in orange robes, eyes closed (blind but serene), holding a monk staff, determined expression after crossing the sea to Japan."
9,藤原道長,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Heian-era Japanese nobleman in lavish layered court robes, confident powerful expression, holding a fan, a full moon visible behind him."
10,紫式部,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Heian-era Japanese court lady in twelve-layered kimono junihitoe, writing with a brush, gentle thoughtful expression, scroll of The Tale of Genji beside her."
11,清少納言,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Heian-era Japanese court lady in colorful layered kimono, witty sharp expression, holding a brush and a scroll reading Makura no Soshi, spring blossoms nearby."
12,平清盛,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Heian samurai-turned-courtier in formal court robes over armor, proud commanding expression, holding a trade ship miniature."
13,源頼朝,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese samurai lord in formal black court robes, stern authoritative expression, a miniature Kamakura castle behind him, first shogun."
14,源義経,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Young Japanese warrior in red and black armor, riding stance, bow and arrow in hand, heroic expression, waves of Dan-no-ura in background."
15,北条時宗,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Young Japanese regent in samurai armor, determined brave expression, a tiny Mongol ship in a storm behind him, repelling the invasion."
16,足利義満,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Muromachi shogun in elaborate golden robes, confident expression, a tiny golden Kinkaku-ji pavilion floating beside him, Ming dynasty trade scroll."
17,足利義政,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Muromachi shogun in refined gray robes, melancholy artistic expression, a tiny silver Ginkaku-ji pavilion and a tea bowl beside him."
18,雪舟,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Muromachi Zen monk-painter in simple dark robes, focused artistic expression, holding an ink brush, an ink wash landscape painting behind him."
19,ザビエル,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. European Jesuit missionary with tonsured hair in black robes, holding a cross, warm missionary expression, arriving in Japan 1549, Portuguese ship in background."
20,織田信長,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese warlord in black European-influenced armor, fierce ambitious expression, holding a musket (tanegashima), flames in background, ruthlessly modern."
21,豊臣秀吉,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese unifier with monkey-like features in golden armor, triumphant expression, holding a land survey scroll (kenchi) and a sword-confiscation edict (katanagari)."
22,徳川家康,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese shogun in formal black robes, patient cautious expression, a tiny Edo castle behind him, tanuki-like wise posture."
23,徳川家光,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese third shogun in formal robes, serious expression, holding a sankin-kotai (alternate attendance) scroll, closed country (sakoku) symbol nearby."
24,近松門左衛門,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo-era Japanese playwright in simple townsman robes, dramatic expressive face, holding a puppet (bunraku) and a script scroll, kabuki mask nearby."
25,歌川広重,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo-era Japanese ukiyo-e artist in casual robes, serene expression, holding a woodblock print of the Tokaido road, ink brush in other hand."
26,本居宣長,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo-era Japanese kokugaku scholar in formal robes, studious expression, holding the Kojiki scroll and a brush, cherry blossoms symbolizing Japanese spirit."
27,杉田玄白,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo-era Japanese rangaku physician in hakama robes, curious intellectual expression, holding a Dutch anatomy book (Kaitai Shinsho), magnifying glass."
28,伊能忠敬,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo-era Japanese cartographer in traveling clothes with sedge hat, determined elder expression, holding a surveying instrument and a scroll map of Japan."
29,ペリー,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. American Commodore in dark navy uniform with gold epaulettes, imposing expression, a tiny black steam warship (kurofune) behind him, 1853."
30,勝海舟,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Late Edo Japanese naval official in Western-influenced uniform, diplomatic calm expression, holding a negotiation scroll for peaceful handover of Edo Castle."
31,西郷隆盛,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Meiji hero in military uniform, large imposing frame, passionate expression, a tiny dog beside him (like the Ueno statue), Satsuma warrior spirit."
32,大久保利通,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Meiji statesman in formal Western suit and pocket watch, steely modernizing expression, holding blueprints for industrial Japan."
33,木戸孝允,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Meiji reformer in blend of samurai and Western clothing, thoughtful expression, holding a Satchou Alliance scroll, formerly known as Katsura Kogoro."
34,明治天皇,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese emperor in Western-style military uniform with medals, dignified expression, holding a Five Charter Oath scroll, modernizing Japan symbol."
35,福沢諭吉,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese educator in Western suit, intellectual enlightenment expression, holding his book Gakumon no Susume (Encouragement of Learning), Keio University in background."
36,大隈重信,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese politician in formal Western suit, energetic expression, holding a university building blueprint (Waseda) and a political party flag."
37,板垣退助,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese liberal politician in Western suit, passionate freedom expression, holding a Jiyuminken (Freedom and People's Rights) banner, fist raised."
38,伊藤博文,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese prime minister in formal Western suit with top hat, statesmanlike expression, holding the Meiji Constitution scroll, first Prime Minister sash."
39,陸奥宗光,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese foreign minister in formal Western diplomatic suit, shrewd negotiator expression, holding a treaty document abolishing extraterritoriality."
40,東郷平八郎,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese admiral in naval uniform with medals, calm commanding expression, a tiny battleship behind him, victory at the Battle of Tsushima."
41,小村寿太郎,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese diplomat in formal suit, short stature but powerful expression, holding a treaty restoring tariff autonomy, completing unequal treaty revision."
42,野口英世,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji Japanese bacteriologist in white lab coat with round glasses, passionate researcher expression, holding a test tube and microscope, international medical researcher."
